SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),4360 25th St,SAN FRANCISCO,CA,94114,2395000,,,SAN FRANCISCO,1870,2848,1940,32,1281,,Active,,,http://www.redfin.com/CA/San-Francisco/4360-25th-St-94114/home/916731,MLSListings,ML81821838,N,Y,37.7496855,-122.4375495
MLS Listing,,Single Family Residential,62 Carr St,San Francisco,CA,94124,399000,2,1.0,Bayview Heights,1100,2291,1923,32,363,,Active,,,http://www.redfin.com/CA/San-Francisco/62-Carr-St-94124/home/2014333,San Francisco MLS,510489,N,Y,37.7215828,-122.3972705
MLS Listing,,Condo/Co-op,1817 California St #204,San Francisco,CA,94109,885000,2,1.5,Pacific Heights,716,,1960,32,1236,518,Active,,,http://www.redfin.com/CA/San-Francisco/1817-California-St-94109/unit-204/home/1659204,San Francisco MLS,509305,N,Y,37.78956,-122.4245359
MLS Listing,,Condo/Co-op,301 Mission St Unit 19H,San Francisco,CA,94105,799000,1,1.0,Yerba Buena,666,,2009,32,1200,1544,Active,,,http://www.redfin.com/CA/San-Francisco/301-Mission-St-94105/unit-19H/home/40142437,San Francisco MLS,508578,N,Y,37.7903824,-122.3961531
MLS Listing,,Multi-Family (2-4 Unit),1785-1787 Alabama St,SAN FRANCISCO,CA,94110,2995000,,,SAN FRANCISCO,2244,1999,1909,33,1335,,Active,,,http://www.redfin.com/CA/San-Francisco/1785-Alabama-St-94110/home/2024976,MLSListings,ML81821662,N,Y,37.7444574,-122.410101
MLS Listing,,Single Family Residential,320 Dwight St,SAN FRANCISCO,CA,94134,1349000,4,3.0,SAN FRANCISCO,1946,1965,1987,33,693,,Active,,,http://www.redfin.com/CA/San-Francisco/320-Dwight-St-94134/home/1768686,MLSListings,ML81821757,N,Y,37.72333,-122.4053798
MLS Listing,,Condo/Co-op,2522 Octavia St #1,San Francisco,CA,94123,1800000,2,2.0,Pacific Heights,1434,,1900,33,1255,700,Active,,,http://www.redfin.com/CA/San-Francisco/2522-Octavia-St-94123/unit-1/home/1251647,San Francisco MLS,510442,N,Y,37.7959731,-122.4282022
MLS Listing,,Single Family Residential,1328 Wawona St,San Francisco,CA,94116,1690000,4,3.0,Parkside,2166,2962,1960,33,780,,Active,,,http://www.redfin.com/CA/San-Francisco/1328-Wawona-St-94116/home/1238849,San Francisco MLS,510056,N,Y,37.7373624,-122.4813272
MLS Listing,,Multi-Family (5+ Unit),1369-1373 Waller St,San Francisco,CA,94117,2800000,9,,Haight Ashbury,5175,2748,1903,33,541,,Active,,,http://www.redfin.com/CA/San-Francisco/1369-Waller-St-94117/home/1393223,San Francisco MLS,510458,N,Y,37.7689098,-122.4460856
MLS Listing,,Multi-Family (2-4 Unit),147-149 Caledonia St,San Francisco,CA,94103,975000,4,2.0,Mission Dolores,1824,1346,1908,34,535,,Active,,,http://www.redfin.com/CA/San-Francisco/147-Caledonia-St-94103/home/1549555,San Francisco MLS,510436,N,Y,37.765776,-122.4213509
